Sentences,Keywords,Intent,ner_ngram,NER,Ner_ngram_length,Values
Open water diving courses near El Nido Palawan in the Philippines,"[['courses', 'diving', 'el', 'in', 'near', 'nido', 'open', 'palawan', 'philippines', 'the']]",activity_search,"{'activity': [1, 3], 'location': [1, 2]}","['activity', 'location']","[2, 2]","['Open water diving courses', 'El Nido, Palawan, Philippines']"
Safest places for solo female travelers in Southeast Asia,"[['asia', 'female', 'for', 'in', 'places', 'safest', 'solo', 'southeast', 'travelers']]",trip_planning,"{'gender': [0, 1], 'region': [1, 3]}","['gender', 'region']","[2, 2]","['female', 'Southeast Asia']"
UNESCO World Heritage Sites in Colombia to visit off the beaten path,"[['beaten', 'colombia', 'heritage', 'in', 'off', 'path', 'sites', 'the', 'to', 'unesco']]",attraction_search,"{'organisation': [1, 3], 'location': [1, 2]}","['organisation', 'location']","[2, 2]","['UNESCO', 'Colombia']"
Wildlife photography tours in Botswana's Okavango Delta,"[['botswana', 'delta', 'in', 'okavango', 'photography', 'tours', 'wildlife']]",activity_search,"{'location': [1, 2]}",['location'],[2],"['Botswana, Okavango Delta']"
Best mountain bike trails for beginners near Whistler Canada,"[['beginners', 'best', 'bike', 'canada', 'for', 'mountain', 'near', 'trails', 'whistler']]",activity_search,"{'car_type': [2, 4], 'location': [1, 2]}","['car_type', 'location']","[2, 2]","['mountain bike', 'Whistler, Canada']"
Historical walking tours in Budapest with English guides,"[['budapest', 'english', 'guides', 'historical', 'in', 'tours', 'walking', 'with']]",activity_search,"{'location': [1, 2], 'language': [0, 1]}","['location', 'language']","[2, 2]","['Budapest', 'English']"
Best glamping experiences near Patagonia for a romantic getaway,"[['best', 'experiences', 'for', 'getaway', 'glamping', 'near', 'patagonia', 'romantic']]",activity_search,"{'location': [1, 2], 'theme': [1, 2]}","['location', 'theme']","[2, 2]","['Patagonia', 'romantic']"
Ancient ruins to visit in Jordan besides Petra,"[['ancient', 'besides', 'in', 'jordan', 'petra', 'ruins', 'to', 'visit']]",attraction_search,"{'location': [1, 2]}",['location'],[2],"['Jordan', 'Petra']"
Best places to learn to kitesurf in the Caribbean during the summer,"[['the', 'to', 'best', 'caribbean', 'during', 'in', 'kitesurf', 'learn', 'places', 'summer']]",activity_search,"{'location': [1, 2], 'season': [0, 1]}","['location', 'season']","[2, 2]","['Caribbean', 'summer']"
What type of currency is used in Mongolia and can I exchange USD there?,"[['and', 'can', 'currency', 'exchange', 'in', 'is', 'mongolia', 'of', 'there', 'type']]",travel_documentation,"{'location': [2], 'currency': [0, 1]}","['location', 'currency']","[1, 2]","['Mongolia', 'USD']"
Do I need a travel adapter for my electronics in South Africa?,"[['adapter', 'africa', 'do', 'electronics', 'for', 'in', 'my', 'need', 'south', 'travel']]",travel_documentation,"{'location': [1, 2]}",['location'],[2],['South Africa']
Safest ways to travel around Sri Lanka for budget backpackers,"[['around', 'backpackers', 'budget', 'for', 'lanka', 'safest', 'sri', 'to', 'travel', 'ways']]",trip_planning,"{'location': [1, 2]}",['location'],[2],['Sri Lanka']
Which countries require proof of yellow fever vaccination for entry?,"[['countries', 'entry', 'fever', 'for', 'of', 'proof', 'require', 'vaccination', 'which', 'yellow']]",travel_documentation,"{'vaccination': [1, 2]}",['vaccination'],[2],['yellow fever']
What local festivals are happening in Cusco Peru in June?,"[['in', 'are', 'cusco', 'festivals', 'happening', 'june', 'local', 'peru', 'what']]",event_search,"{'location': [1, 2], 'month': [0, 1]}","['location', 'month']","[2, 2]","['Cusco, Peru', 'June']"
Malaria medication recommendations for trekking in Nepal in October,"[['in', 'for', 'malaria', 'medication', 'nepal', 'october', 'recommendations', 'trekking']]",travel_documentation,"{'disease': [1, 3], 'location': [1, 2], 'month': [0, 1]}","['disease', 'location', 'month']","[2, 2, 2]","['MalariaNepal', 'October']"
Best places to stay for wildlife viewing in Kruger National Park South Africa,"[['africa', 'best', 'for', 'in', 'kruger', 'national', 'park', 'places', 'south', 'stay']]",accommodation_search,"{'attraction_type': [2, 4], 'location': [1, 2]}","['attraction_type', 'location']","[2, 2]","['Kruger National Park', 'South Africa']"
Who is eligible for e-Visa Services?,"[['eligible', 'for', 'is', 'services', 'visa', 'who']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa']
What is the procedure of applying for e-Visa?,"[['applying', 'for', 'is', 'of', 'procedure', 'the', 'visa', 'what']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa']
Is there any other website apart from the government website to apply for the e-Visa application?,"[['the', 'website', 'any', 'apart', 'application', 'apply', 'for', 'from', 'government', 'is']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa application']
Is there any fee other than the processing fee for visa application?,"[['fee', 'any', 'application', 'for', 'is', 'other', 'processing', 'than', 'the', 'there']]",travel_documentation,"{'fee': [1, 3]}",['fee'],[2],['processing fee']
Do I get a confirmation of submission of my e-Visa application?,"[['of', 'application', 'confirmation', 'do', 'get', 'my', 'submission', 'visa']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa application']
When will my e-Visa be issued and how will I be informed about it?,"[['be', 'will', 'about', 'and', 'how', 'informed', 'issued', 'it', 'my', 'visa']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa']
Can I check the status of my e-Visa application?,"[['application', 'can', 'check', 'my', 'of', 'status', 'the', 'visa']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa application']
What is the validity of e-Visa?,"[['is', 'of', 'the', 'validity', 'visa', 'what']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa']
Can I convert my e-Visa to any other Visa?,"[['visa', 'any', 'can', 'convert', 'my', 'other', 'to']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa']
I have not received any intimation even after 72 Hours of submission of my e-Visa application. What should I do now?,"[['of', '72', 'after', 'any', 'application', 'do', 'even', 'have', 'hours', 'intimation']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa application']
I am applying e-Visa for myself and my son/daughter who is a minor. Do I need to apply for a separate e-Visa for my minor child?,"[['for', 'minor', 'my', 'visa', 'am', 'apply', 'applying', 'child', 'daughter', 'do']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa']
I have submitted my e-Visa application and paid the processing fee. If I cancel my proposed visit to India will the fees be refunded?,"[['my', 'the', 'and', 'application', 'be', 'cancel', 'fee', 'fees', 'have', 'if']]",travel_documentation,"{'visa': [1, 2], 'location': [1, 2]}","['visa', 'location']","[2, 2]","['e-Visa application', 'India']"
Do I have to pay anything else at the airport for e-Visa (other than the processing fee paid by me online)?,"[['the', 'airport', 'anything', 'at', 'by', 'do', 'else', 'fee', 'have', 'me']]",travel_documentation,"{'visa': [1, 2], 'fee': [1, 3]}","['visa', 'fee']","[2, 2]","['e-Visa', 'processing fee']"
I want to submit my liquor permit application along with my e-visa application how can I do this?,"[['application', 'my', 'along', 'can', 'do', 'how', 'liquor', 'permit', 'submit', 'this']]",travel_documentation,"{'document': [2, 4], 'visa': [1, 2]}","['document', 'visa']","[2, 2]","['liquor permit application', 'e-Visa']"
What should I do if the payment is not accepted by the e-Visa website?,"[['the', 'accepted', 'by', 'do', 'if', 'is', 'not', 'payment', 'should', 'visa']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa website']
How can I get the invoice/receipt of the e-Visa payment?,"[['the', 'can', 'get', 'how', 'invoice', 'of', 'payment', 'receipt', 'visa']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa payment']
What are the necessary documents required to apply for an e-Business Visa other than the Passport?,"[['the', 'an', 'apply', 'are', 'business', 'documents', 'for', 'necessary', 'other', 'passport']]",travel_documentation,"{'visa': [1, 2], 'document': [1, 2]}","['visa', 'document']","[2, 2]","['e-Business Visa', 'Passport']"
What is a Business Card?,"[['business', 'card', 'is', 'what']]",travel_documentation,"{'document': [1, 2]}",['document'],[2],['Business Card']
What are the necessary documents required for e-Medical Visa other than the Passport?,"[['the', 'are', 'documents', 'for', 'medical', 'necessary', 'other', 'passport', 'required', 'than']]",travel_documentation,"{'visa': [1, 2], 'document': [1, 2]}","['visa', 'document']","[2, 2]","['e-Medical Visa', 'Passport']"
What are the necessary documents required for e-Conference Visa other than the Passport?,"[['the', 'are', 'conference', 'documents', 'for', 'necessary', 'other', 'passport', 'required', 'than']]",travel_documentation,"{'visa': [1, 2], 'document': [1, 2]}","['visa', 'document']","[2, 2]","['e-Conference Visa', 'Passport']"
I got a new passport but my ETA was on old passport and it is still valid. How can I proceed now?,"[['passport', 'and', 'but', 'can', 'eta', 'got', 'how', 'is', 'it', 'my']]",travel_documentation,"{'visa': [1, 2], 'travel_doc': [1, 2]}","['visa', 'travel_doc']","[2, 2]","['ETA', 'old passport']"
Can I enter India using Land border even if I am having valid e-visa for any other airport or seaport which is not listed for the e-Visa ?,"[['for', 'visa', 'airport', 'am', 'any', 'border', 'can', 'enter', 'having', 'if']]",travel_documentation,"{'location': [1, 2], 'visa': [1, 2]}","['location', 'visa']","[2, 2]","['India', 'e-Visa']"
How can I fill previous Visa details inside the e-Visa application form?,"[['visa', 'application', 'can', 'details', 'fill', 'form', 'how', 'inside', 'previous', 'the']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa application form']
Can I get Visa on Arrival(VoA) at Indian Airports/Seaport?,"[['airports', 'arrival', 'at', 'can', 'get', 'indian', 'on', 'seaport', 'visa', 'voa']]",travel_documentation,"{'location': [1, 2], 'visa': [1, 2]}","['location', 'visa']","[2, 2]","['India', 'Visa on Arrival (VoA)']"
Can I get a refund for the rejected e-Visa application?,"[['application', 'can', 'for', 'get', 'refund', 'rejected', 'the', 'visa']]",travel_documentation,"{'visa': [1, 2]}",['visa'],[2],['e-Visa application']
Can I use e-Visa to enter in India by cruise Ship?,"[['by', 'can', 'cruise', 'enter', 'in', 'india', 'ship', 'to', 'use', 'visa']]",travel_documentation,"{'visa': [1, 2], 'car_type': [2, 4]}","['visa', 'car_type']","[2, 2]","['e-Visa', 'cruise Ship']"
What is 'Visible Identification Mark'?,"[['identification', 'is', 'mark', 'visible', 'what']]",travel_documentation,"{'document': [2, 4]}",['document'],[2],['Visible Identification Mark']
Who have to carry the 'Yellow Fever Vaccination card'?,"[['card', 'carry', 'fever', 'have', 'the', 'to', 'vaccination', 'who', 'yellow']]",travel_documentation,"{'vaccination': [3, 4]}",['vaccination'],[2],['Yellow Fever Vaccination card']
We got the ETA but have discrepancy in the Name Nationality Passport Number and Date of Birth in the ETA ?,"[['the', 'eta', 'in', 'and', 'birth', 'but', 'date', 'discrepancy', 'got', 'have']]",travel_documentation,"{'travel_doc': [1, 2]}",['travel_doc'],[2],['ETA']
Is the e-Visa facility allowed for employment Visa?,"[['visa', 'allowed', 'employment', 'facility', 'for', 'is', 'the']]",travel_documentation,"{'visa': [4, 5]}",['visa'],[2],"['e-Visa', 'employment Visa']"
Is the e-Visa allowed for Non-Governmental Organization (NGO) activities and journalism purposes ?,"[['activities', 'allowed', 'and', 'for', 'governmental', 'is', 'journalism', 'ngo', 'non', 'organization']]",travel_documentation,"{'visa': [1, 2], 'organisation': [1, 3], 'profession': [1, 3]}","['visa', 'organisation', 'profession']","[2, 2, 2]","['e-Visa', 'Non-Governmental Organization (NGO)', 'journalism']"
What are the dates for the upcoming Goa Carnival in India?,"[['the', 'are', 'carnival', 'dates', 'for', 'goa', 'in', 'india', 'upcoming', 'what']]",festival_info,"{'location': [0, 1], 'festival': [2, 3]}","['location', 'festival']","[2, 2]","['Goa, India', 'Goa Carnival']"
"Where can I find the best restaurants serving Chettinad cuisine in Chennai, India?","[['best', 'can', 'chennai', 'chettinad', 'cuisine', 'find', 'in', 'india', 'restaurants', 'serving']]",restaurant_search,"{'location': [0, 1], 'cuisine': [2, 3]}","['location', 'cuisine']","[2, 2]","['Chennai, India', 'Chettinad cuisine']"
"What are some eco-friendly yoga retreats to stay in Rishikesh, India?","[['are', 'eco', 'friendly', 'in', 'india', 'retreats', 'rishikesh', 'some', 'stay', 'to']]",accommodation_search,"{'location': [0, 1], 'accommodation': [2, 3]}","['location', 'accommodation']","[2, 2]","['Rishikesh, India', 'eco-friendly yoga retreats']"
What are some lesser-known historical facts about the Taj Mahal?,"[['about', 'are', 'facts', 'historical', 'known', 'lesser', 'mahal', 'some', 'taj', 'the']]",information_search,"{'location': [0, 2], 'attraction_type': [2, 4]}","['location', 'attraction_type']","[2, 2]","['India', 'Taj Mahal']"
When is the next edition of the Kolkata International Film Festival happening?,"[['the', 'edition', 'festival', 'film', 'happening', 'international', 'is', 'kolkata', 'next', 'of']]",event_info,"{'location': [0, 1], 'event': [2, 3]}","['location', 'event']","[2, 2]","['Kolkata, India', 'Kolkata International Film Festival']"
"What are some reputable centers offering Ayurvedic treatments in Kerala, India?","[['are', 'ayurvedic', 'centers', 'in', 'india', 'kerala', 'offering', 'reputable', 'some', 'treatments']]",activity_search,"{'location': [0, 1], 'activity': [2, 3]}","['location', 'activity']","[2, 2]","['Kerala, India', 'Ayurvedic treatments']"
How can I book tickets for a ride on the Himachal Pradesh Toy Train?,"[['book', 'can', 'for', 'himachal', 'how', 'on', 'pradesh', 'ride', 'the', 'tickets']]",transportation_booking,"{'location': [0, 1], 'car_type': [2, 3]}","['location', 'car_type']","[2, 2]","['Himachal Pradesh, India', 'Toy Train']"
Are there any unique homestays I can experience along the Golden Triangle tourist circuit in India?,"[['along', 'any', 'are', 'can', 'circuit', 'experience', 'golden', 'homestays', 'in', 'india']]",accommodation_search,"{'location': [0, 2], 'accommodation': [1, 3]}","['location', 'accommodation']","[2, 2]","['Golden Triangle (India)', 'homestays']"
What are the best markets for buying traditional Indian handicrafts in Delhi?,"[['are', 'best', 'buying', 'delhi', 'for', 'handicrafts', 'in', 'indian', 'markets', 'the']]",shopping_search,"{'location': [0, 1], 'activity': [2, 3]}","['location', 'activity']","[2, 2]","['Delhi', 'traditional Indian handicrafts']"
What are the best months to visit Mumbai considering the weather?,"[['the', 'are', 'best', 'considering', 'months', 'mumbai', 'to', 'visit', 'weather', 'what']]",trip_planning,"{'location': [0, 1]}",['location'],[2],['Mumbai']
Are there any discounts on hotel bookings in San Francisco for 25th June?,"[['25th', 'any', 'are', 'bookings', 'discounts', 'for', 'francisco', 'hotel', 'in', 'june']]",discount_search,"{'location': [1, 3], 'date': [1, 2]}","['location', 'date']","[2, 2]","['San Francisco', '25th June']"
Can I get any discounts on flights to Berlin on 15th July?,"[['on', '15th', 'any', 'berlin', 'can', 'discounts', 'flights', 'get', 'july', 'to']]",discount_search,"{'location': [1, 3], 'date': [1, 2]}","['location', 'date']","[2, 2]","['Berlin', '15th July']"
Are there any discounts available for car rentals in New York?,"[['any', 'are', 'available', 'car', 'discounts', 'for', 'in', 'new', 'rentals', 'there']]",discount_search,"{'location': [1, 3]}",['location'],[2],['New York']
Can I find any discounts on tour packages in London?,"[['any', 'can', 'discounts', 'find', 'in', 'london', 'on', 'packages', 'tour']]",discount_search,"{'location': [1, 3]}",['location'],[2],['London']
Are there any discounts on attractions in Paris?,"[['any', 'are', 'attractions', 'discounts', 'in', 'on', 'paris', 'there']]",discount_search,"{'location': [1, 3]}",['location'],[2],['Paris']
How can I get a discount on an international flight from Tokyo to Seoul for 10th August?,"[['10th', 'an', 'august', 'can', 'discount', 'flight', 'for', 'from', 'get', 'how']]",discount_search,"{'origin': [1, 3], 'destination': [1, 3], 'date': [1, 2], 'flight_type': [1, 3]}","['origin', 'destination', 'date', 'flight_type']","[2, 2, 2, 2]","['Tokyol', 'Seoul', '10th August', 'international flight']"
Are there any discounts available for restaurant bookings in Rome?,"[['any', 'are', 'available', 'bookings', 'discounts', 'for', 'in', 'restaurant', 'rome', 'there']]",discount_search,"{'location': [1, 3]}",['location'],[2],['Rome']
Can I get any discounts on spa services in Bangkok?,"[['any', 'bangkok', 'can', 'discounts', 'get', 'in', 'on', 'services', 'spa']]",discount_search,"{'location': [1, 3], 'service': [1, 4]}","['location', 'service']","[2, 2]","['Bangkok', 'spa services']"
Are there any hotel discounts in Mumbai for 5th December?,"[['5th', 'any', 'are', 'december', 'discounts', 'for', 'hotel', 'in', 'mumbai', 'there']]",discount_search,"{'location': [1, 3], 'date': [1, 2]}","['location', 'date']","[2, 2]","['Mumbai', '5th December']"
What discounts are available for guided tours in Sydney?,"[['are', 'available', 'discounts', 'for', 'guided', 'in', 'sydney', 'tours', 'what']]",discount_search,"{'location': [1, 3], 'service': [1, 3]}","['location', 'service']","[2, 2]","['Sydney', 'guided tours']"
